Hello World
school,prefix,ip,model,sysname,location,MAC
Using ciscoschools.csv
======= Bonaly Primary School
Bonaly Primary School,BONA,10.219.32.11,Unknown,Unknown,Unknown,Unknown,Unknown
======= Davidson's Mains Primary School
Davidson's Mains Primary School,DAVI,10.218.28.9,WS-C2950G-24-EI,E-0067-SW-2950-02,,00:15:2B:59:2E:C0,FCZ0935X1TB
======= Lorne Primary School
======= St Peter's RC Primary School
St Peter's RC Primary School,STPE,10.212.20.9,Unknown,Unknown,Unknown,Unknown,Unknown
======= Craigmount High School
Craigmount High School,CRM,10.202.4.8,WS-C2950G-48-EI,E-0005-SW-2950-01,,00:0B:BE:E4:C7:00,FOC0652X1CD
Craigmount High School,CRM,10.202.4.9,WS-C2950G-48-EI,E-0005-SW-2950-02,,00:0B:BE:FB:FB:00,FOC0652W2M3
Craigmount High School,CRM,10.202.4.10,WS-C2950G-48-EI,E-0005-SW-2950-03,,00:0E:83:AF:F9:40,FOC0747W73J
Craigmount High School,CRM,10.202.4.11,WS-C2950G-48-EI,E-0005-SW-2950-04,,00:0E:83:B5:7E:00,FOC0747W74H
Craigmount High School,CRM,10.202.4.12,WS-C2950G-48-EI,E-0005-SW-2950-05,,00:0E:83:B7:5B:00,FOC0747W7E1
Craigmount High School,CRM,10.202.4.13,WS-C2950G-48-EI,E-0005-SW-2950-06,,00:0E:83:B5:86:80,FOC0747W764
Craigmount High School,CRM,10.202.4.14,WS-C2950G-48-EI,E-0005-SW-2950-07,,00:0E:83:B7:5C:00,FOC0747W7E4
Craigmount High School,CRM,10.202.4.15,WS-C2950G-48-EI,E-0005-SW-2950-08,,00:0E:83:B5:8A:C0,FOC0747XRZ7
Craigmount High School,CRM,10.202.4.16,WS-C2950G-48-EI,E-0005-SW-2950-09,,00:0E:83:B5:7D:00,FOC0747W74J
Craigmount High School,CRM,10.202.4.17,WS-C2950G-48-EI,E-0005-SW-2950-010,,00:0E:83:B5:7A:40,FOC0747XRZ3
Craigmount High School,CRM,10.202.4.18,WS-C2950G-48-EI,E-0005-SW-2950-011,,00:0E:83:A4:BD:40,FOC0747X3K8
Craigmount High School,CRM,10.202.4.19,WS-C2950G-48-EI,E-0005-SW-2950-012,,00:0E:83:B7:5C:C0,FOC0747XS5V
Craigmount High School,CRM,10.202.4.20,WS-C2950G-48-EI,E-0005-SW-2950-13,,00:12:7F:B7:DC:00,FOC0844X32Y
======= St Thomas of Aquin's High School
St Thomas of Aquin's High School,STT,10.219.36.8,WS-C3508G-XL-EN,E-0019-SW-3508-a-core,,00:09:43:4D:D9:C0,CAT0613Y04V
St Thomas of Aquin's High School,STT,10.219.36.9,WS-C3524-PWR-XL-EN,E-0019-SW-3524-a-01,,00:08:E3:8A:09:00,CAT0607Y0Y7
St Thomas of Aquin's High School,STT,10.219.36.10,WS-C3550-48-SMI,E-0019-SW-3548-a-01,,00:0A:41:3B:EF:00,
St Thomas of Aquin's High School,STT,10.219.36.11,WS-C3524-PWR-XL-EN,E-0019-SW-3524-b-01,,00:0A:41:D0:9B:40,CAT0628X0HR
St Thomas of Aquin's High School,STT,10.219.36.12,WS-C3550-48-SMI,E-0019-SW-3548-b-01,,00:0A:41:99:40:00,
St Thomas of Aquin's High School,STT,10.219.36.13,WS-C3550-48-SMI,E-0019-SW-3548-b-02,,00:0A:41:0D:18:80,
St Thomas of Aquin's High School,STT,10.219.36.14,WS-C3550-48-SMI,E-0019-SW-3548-b-03,,00:0A:41:21:79:00,
St Thomas of Aquin's High School,STT,10.219.36.15,WS-C3524-PWR-XL-EN,E-0019-SW-3524-c-01,,00:09:43:F0:EF:40,CAT0613Y0AJ
St Thomas of Aquin's High School,STT,10.219.36.16,WS-C3550-48-SMI,E-0019-SW-3548-c-01,,00:0A:41:90:97:80,
St Thomas of Aquin's High School,STT,10.219.36.17,WS-C3550-48-SMI,E-0019-SW-3548-c-02,,00:09:E8:E5:A2:80,
St Thomas of Aquin's High School,STT,10.219.36.18,WS-C3524-PWR-XL-EN,E-0019-SW-3524-d-01,,00:08:E3:89:D5:80,CAT0607Y0TF
St Thomas of Aquin's High School,STT,10.219.36.19,WS-C3550-48-SMI,E-0019-SW-3548-d-01,,00:0A:41:91:04:00,
St Thomas of Aquin's High School,STT,10.219.36.20,WS-C2950G-48-EI,E-0019-SW-2950-01,,00:0B:BE:FB:FA:00,FOC0652X2MZ
St Thomas of Aquin's High School,STT,10.219.36.21,WS-C2950G-48-EI,E-0019-SW-2950-01a,,00:0F:F7:2B:0C:40,FOC0815W1SH
======= Wester Hailes Education Centre
Wester Hailes Education Centre,WES,10.203.12.8,WS-C2950G-48-EI,temp_switch_1,,00:14:A8:37:38:00,FCZ0926W0H4
Wester Hailes Education Centre,WES,10.203.12.9,WS-C2950G-48-EI,temp_switch_2,,00:0A:41:31:0A:C0,FHK0626Y0TZ
======= Braidburn Special School
