Hello World
Using cld.csv
======= CLD East
======= CLD East
CLD East,CLEA,10.225.48.70,FS726T, Castleview ComEd, Office, 00-18-4d-3a-60-ad
======= CLD East
======= CLD East
CLD East,CLEA,10.226.64.70,FS726T, Netgear 24, Jack Kane Com Ed, 00-14-6c-ea-ae-e5
======= CLD East
======= CLD East
======= CLD East
======= CLD East
======= CLD North
======= CLD North
======= CLD North
======= CLD North
======= CLD North
CLD North,CLNO,10.228.28.70,FS726T, Royston/Wardieburn, First Floor Comms, 00-18-4d-2e-21-f9
CLD North,CLNO,10.228.28.71,GS724T,Unknown,Unknown,Unknown
======= CLD North
======= CLD North
======= CLD South
CLD South,CLSO,10.254.36.70,FS726T, , South Bridge Cab 1-1, 00-18-4d-2e-21-fa
======= CLD South
======= CLD South
======= CLD South
======= CLD South
======= CLD South
======= CLD South
======= CLD South
CLD South,CLSO,10.220.40.70,FS750T2, Cameron_Hse_Comm_Ed, Commsw Cabinet, 00-1e-2a-3c-1a-fb
======= CLD South
CLD South,CLSO,10.211.88.70,FS750T2, Burdiehouse Comm Ed, , 00-1e-2a-d4-e8-d9
======= CLD South
======= CLD SouthWest
======= CLD SouthWest
======= CLD SouthWest
======= CLD West
CLD West,CLWE,10.252.36.70,FS750T2, , Carrickvale Comm Ed, 00-18-4d-6e-a5-30
======= CLD West
======= CLD West
======= CLD West
CLD West,CLWE,10.217.52.70,GS724T,Unknown,Unknown,Unknown
======= CLD West
CLD West,CLWE,10.201.52.70,FS726T, St Brides Com Ed, Reception, 00-14-6c-ea-c1-43
======= CLD West
