Hello World
Using goldhelp.csv
=======
Abbeyhill Primary School,ABBE,10.225.16.70,FS750T2, Abbeyhill_Switch_1, Head_Teacher_Room, e0-46-9a-2a-04-14
Abbeyhill Primary School,ABBE,10.225.16.71,FS726T, Abbeyhill PS, Infant Block, 00-14-6c-ea-c1-47
=======
Balgreen Primary School,BALG,10.201.20.70,GS724T,Unknown,Unknown,Unknown
Balgreen Primary School,BALG,10.201.20.71,FS726T, Balgreen PS, Main Cab 1_2, 00-24-b2-5e-fd-16
Balgreen Primary School,BALG,10.201.20.72,FS726T, Balgreen PS, Gym Cab 2_1, 00-24-b2-5e-fc-fb
=======
Blackhall Primary School,BLAC,10.217.12.70,FS750T2, , Blackhall Primary 1, 00-22-3f-e1-67-67
Blackhall Primary School,BLAC,10.217.12.71,FS726T, , Blackhall Primary 2, 00-14-6c-ec-a9-7f
Blackhall Primary School,BLAC,10.217.12.72,FS726T, , Blackhall Primary 3, 00-14-6c-eb-a4-f4
Blackhall Primary School,BLAC,10.217.12.74,FS726T, blackhall primary, temp unit, 00-22-3f-0a-f8-5d
=======
Bonaly Primary School,BONA,10.219.32.70,GS724T,Unknown,Unknown,Unknown
Bonaly Primary School,BONA,10.219.32.71,FS750T2, Darroch Campus SW2, Main Comms Room, 10-0d-7f-b7-72-4e
Bonaly Primary School,BONA,10.219.32.72,FS750T2, Darroch Campus SW3, Main Comms Room, 10-0d-7f-b7-72-0e
Bonaly Primary School,BONA,10.219.32.73,FS750T2, Darroch Campus SW4, Main Comms Room, 10-0d-7f-b7-72-2e
=======
Bonnington Primary School,BONN,10.227.12.70,FS726T, Taobh na Pairce SW1, Bonnington Gaelic, 00-14-6c-ea-c1-37
Bonnington Primary School,BONN,10.227.12.71,FS750T2, Taobh na Pairce, Bonnington road 2nd , 10-0d-7f-b7-72-66
Bonnington Primary School,BONN,10.227.12.72,FS750T2, Taobh na Pairce, Bonnington road 2fl , 10-0d-7f-b7-72-46
=======
Broomhouse Primary School,BROO,10.252.4.70,FS726T, , Broomhouse 1-1, 00-14-6c-ea-c1-31
Broomhouse Primary School,BROO,10.252.4.71,FS726T, , Broomhouse 1-2, 00-14-6c-ea-c1-1f
Broomhouse Primary School,BROO,10.252.4.72,FS726T, , Broomhouse 1-3, 00-14-6c-ea-c1-36
=======
Broughton Primary School,BROU,10.254.16.70,FS726T, Broughton PS 1_1 , Main Cab , 00-18-4d-30-28-e0
Broughton Primary School,BROU,10.254.16.71,FS750T2, Broughton PS 1_2, Main Cab, 00-22-3f-e1-67-5e
Broughton Primary School,BROU,10.254.16.72,FS726T, Broughton PS 2_1, Nursery, 00-18-4d-2d-1f-93
Broughton Primary School,BROU,10.254.16.73,FS750T2, broughton ps, annexe, 04-a1-51-6b-c6-52
=======
Brunstane Primary School,BRUS,10.226.12.70,FS750T2, Bruntstane PS, Main CAB, e0-91-f5-1f-82-54
=======
Bruntsfield Primary School,BRUF,10.219.16.70,FS750T2, , Bruntsfield PS 1, c0-3f-0e-44-95-6e
Bruntsfield Primary School,BRUF,10.219.16.71,FS750T2, Bruntsfield 2, bruntsfield, 84-1b-5e-91-a9-12
=======
