Primary,Bonaly Primary School,BONA,bonaly,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.209.12.1:
Assembley Rooms Corporate,CORP	10.189.140.8
Bonnington ATC, 200 Bonnington Rd	CORP	10.163.48.8
CEC Services for Communities, 13 Newtoft St	CORP	10.147.52.8
Craighall Day Centre Granton	CORP	10.164.20.8
Drumbrae Data VLAN	CORP	10.154.32.8
Edinburgh Family Project (ex-Ferniehill YPC) Liberton	CORP	10.147.36.8
Firhill Respite Unit [50]	CORP	10.145.8.8
Jewel House Residential Centre	CORP	10.162.36.8
Kings Inch Home for older people	CORP	10.147.60.10
Lauriston Castle	CORP	10.154.40.8
Moredun YPC Liberton	CORP	10.147.44.8
Museum Collection Office	CORP	10.189.156.8
Oaklands	CORP	10.148.12.8
Risk Factory	CORP	10.140.4.8
Sheriff Court	CORP	10.189.120.8
Southhouse YPC Liberton	CORP	10.147.48.8
Viewforth Child and Family Centre	CORP	10.148.8.8
Voice Scope for Westfield House	CORP	10.138.6.11
Westfield House Social Work	CORP	10.138.4.15
